fromNode,toNode,Confidence,InteractionType
corderogerardo,ariya,0,following
corderogerardo,blendin,0,following
corderogerardo,andrewsyc,0,following
corderogerardo,aldeed,0,following
chongbenben,gugakatsi,0,Friends
vaigunth,gugakatsi,0,Friends
JonatanSalas,gugakatsi,0,Friends
yfgeek,gugakatsi,0,Friends
chenyoufu,gugakatsi,0,Friends
zhiaixuexi,gugakatsi,0,Friends
cccyb,gugakatsi,0,Friends
ReidHolmes,gugakatsi,0,Friends
brunocvcunha,gugakatsi,0,Friends
AeronStory,gugakatsi,0,Friends
Vermisse,gugakatsi,0,Friends
lucasbento,gugakatsi,0,Friends
gugakatsi,izuzak,0,following
gugakatsi,nicolasgarnier,0,following
gugakatsi,mbrandonw,0,following
gugakatsi,mackenziechild,0,following
gugakatsi,SnehaRane,0,following
gugakatsi,qiyian,0,following
gugakatsi,answershuto,0,following
gugakatsi,tccpc,0,following
gugakatsi,myuanyuan,0,following
gugakatsi,gcelaor,0,following
gugakatsi,nickdoth,0,following
gugakatsi,mrprompt,0,following
gugakatsi,vicainelli,0,following
gugakatsi,shayanzare,0,following
gugakatsi,AppDev666,0,Friends
gugakatsi,woliveiras,0,following
gugakatsi,reergymerej,0,following
gugakatsi,helam01,0,following
gugakatsi,rturk,0,following
gugakatsi,xcarpentier,0,following
gugakatsi,gabazureus,0,following
gugakatsi,caiocutrim,0,following
gugakatsi,pedpess,0,following
gugakatsi,buckyroberts,0,following
gugakatsi,davideast,0,following
gugakatsi,kaushikgopal,0,following
gugakatsi,shvelo,0,following
gugakatsi,safareli,0,following
gugakatsi,torvalds,0,following
csbpku,johanzhu,0,Friends
tan520500,johanzhu,0,follower
blackhamm3rjack,johanzhu,0,Friends
edu-bot,johanzhu,0,Friends
chongbenben,johanzhu,0,follower
yfgeek,johanzhu,0,Friends
gcelaor,johanzhu,0,Friends
AeronStory,johanzhu,0,follower
Vermisse,johanzhu,0,Friends
Tsroad,johanzhu,0,Friends
brunocvcunha,johanzhu,0,follower
simongfxu,johanzhu,0,Friends
lucasbento,johanzhu,0,follower
shivamshekhar,johanzhu,0,follower
shadestreak,johanzhu,0,follower
zrcing,johanzhu,0,follower
lengdefengren,johanzhu,0,follower
Soulcooder,johanzhu,0,follower
nilfalse,johanzhu,0,follower
luojinghui,johanzhu,0,follower
johanzhu,nswbmw,0,Friends
johanzhu,hanax,0,following
johanzhu,QingWei-Li,0,following
